Address;PostalCode;Phone;Country;CityInput;PropertyID;Status;UpdatedDate;SourceSystem;Notes;PostalCode_OK;Phone_OK;Street_extracted;MissingStreet;City_extracted;City_Match;AnyError;ErrorCount
AustraliaAdelaide, Australia;61016;-374333629;Australia;Adelaide;PROP00152;Inactive;08.05.2025;Salesforce;Needs review;OK;OK;Australia;OK;Adelaide;MATCH;OK;0
Brent Light290, Sapporo, Japan;43407;-754763100;Japan;Sapporo;PROP00153;Active;29.03.2024;Planon;Pending validation;OK;OK;Brent Light290;OK;Sapporo;MATCH;OK;0
Canada, Montreal;50193;-440407221;Canada;Montreal;PROP00154;Active;29.03.2025;Planon;Verified;OK;OK;Montreal;OK;Montreal;MATCH;OK;0
Vancouver, Walton Village 45, Canada;55756;-827536530;Canada;Vancouver;PROP00155;Inactive;13.05.2023;Salesforce;;OK;OK;Walton Village 45;OK;Vancouver;MATCH;OK;0
Conley Mountains 230, Canada, Vancouver;3041;-884502030;Canada;Vancouver;PROP00156;Active;27.02.2024;MDG;Needs review;OK;OK;Conley Mountains 230;OK;Vancouver;MATCH;OK;0
GermanyFrankfurtZoe Keys48;29890;-300275156;Germany;Frankfurt;PROP00157;Inactive;09.08.2023;ServiceNow;;OK;OK;GermanyFrankfurtZoe Keys48;OK;Frankfurt;MATCH;OK;0
GermanyMunichKimberly Run59;5777;-757468833;Germany;Munich;PROP00158;Active;18.01.2024;Planon;Imported from legacy system;OK;OK;GermanyMunichKimberly Run59;OK;Munich;MATCH;OK;0
Stefanie Flats 67, Paris;3172;-574095803;France;Paris;PROP00159;Inactive;25.05.2024;Planon;Pending validation;OK;OK;Stefanie Flats 67;OK;Paris;MATCH;OK;0
USA, Phoenix;88248;-151093703;USA;Phoenix;PROP00160;Active;01.05.2024;SAP;Check postal code;OK;OK;Phoenix;OK;Phoenix;MATCH;OK;0
JapanTokyo;61453;-298206855;Japan;Tokyo;PROP00161;Active;02.09.2023;Planon;Imported from legacy system;OK;OK;;MISSING;Tokyo;MATCH;ERROR;1
Wang Expressway 245, Manchester;79916;-113005230;UK;Manchester;PROP00162;Inactive;24.11.2023;SAP;Pending validation;OK;OK;Wang Expressway 245;OK;Manchester;MATCH;OK;0
Valencia, Kimberly Estates 253, Spain;41269;-707427859;Spain;Valencia;PROP00163;Inactive;22.10.2024;Salesforce;Verified;OK;OK;Kimberly Estates 253;OK;Valencia;MATCH;OK;0
Japan, Osaka;75971;-967616910;Japan;Osaka;PROP00164;Active;08.01.2024;Planon;Needs review;OK;OK;Osaka;OK;Osaka;MATCH;OK;0
Sanders Stravenue 68, Milan;26496;-194615219;Italy;Milan;PROP00165;Active;09.06.2025;Salesforce;Pending validation;OK;OK;Sanders Stravenue 68;OK;Milan;MATCH;OK;0
CanadaVancouver;82714;-180045659;Canada;Vancouver;PROP00166;Active;26.12.2023;MDG;Check postal code;OK;OK;;MISSING;Vancouver;MATCH;ERROR;1
ItalyMilan;40030;-885665547;Italy;Milan;PROP00167;Inactive;17.07.2023;Planon;Verified;OK;OK;;MISSING;Milan;MATCH;ERROR;1
BerlinLaura Port45, Germany;5884;-199128301;Germany;Berlin;PROP00168;Inactive;14.06.2025;Planon;Imported from legacy system;OK;OK;BerlinLaura Port45;OK;Berlin;MATCH;OK;0
Canada, Calgary, Patel Shore 168;49072;-969287052;Canada;Calgary;PROP00169;Active;29.07.2024;ServiceNow;;OK;OK;Patel Shore 168;OK;Calgary;MATCH;OK;0
Australia, Adelaide, William Junctions 150;2159;-643719751;Australia;Adelaide;PROP00170;Inactive;23.03.2025;SAP;;OK;OK;William Junctions 150;OK;Adelaide;MATCH;OK;0
Short Coves178, Birmingham, UK;57323;-345382502;UK;Birmingham;PROP00171;Active;13.07.2023;SAP;Verified;OK;OK;Short Coves178;OK;Birmingham;MATCH;OK;0
Canada, Montreal;60759;-820520238;Canada;Montreal;PROP00172;Inactive;15.05.2025;Salesforce;Verified;OK;OK;Montreal;OK;Montreal;MATCH;OK;0
UK, Liverpool;68887;-644502401;UK;Liverpool;PROP00173;Active;24.01.2025;SAP;Verified;OK;OK;Liverpool;OK;Liverpool;MATCH;OK;0
Australia, Perth, Gilbert Plain 107;63873;-936361639;Australia;Perth;PROP00174;Inactive;07.02.2024;Salesforce;;OK;OK;Gilbert Plain 107;OK;Perth;MATCH;OK;0
Cologne, Graham Street 185, Germany;78157;-450424359;Germany;Cologne;PROP00175;Inactive;04.07.2024;Salesforce;Verified;OK;OK;Graham Street 185;OK;Cologne;MATCH;OK;0
USALos Angeles;11860;-167302314;USA;Los Angeles;PROP00176;Active;05.08.2023;Salesforce;;OK;OK;;MISSING;Los Angeles;MATCH;ERROR;1
Germany, Munich;98867;-610541865;Germany;Munich;PROP00177;Inactive;05.10.2023;MDG;;OK;OK;Munich;OK;Munich;MATCH;OK;0
GermanyHamburg;50175;-831939429;Germany;Hamburg;PROP00178;Inactive;20.06.2023;Planon;Imported from legacy system;OK;OK;;MISSING;Hamburg;MATCH;ERROR;1
France, Bordeaux, Johnson Vista 118;43101;-728970599;France;Bordeaux;PROP00179;Active;10.12.2022;Planon;Verified;OK;OK;Johnson Vista 118;OK;Bordeaux;MATCH;OK;0
JapanKyoto, Japan;34363;-263433437;Japan;Kyoto;PROP00180;Inactive;15.08.2024;Planon;;OK;OK;Japan;OK;Kyoto;MATCH;OK;0
SpainMadridRamirez Ranch192;92406;-241015614;Spain;Madrid;PROP00181;Inactive;20.12.2022;Planon;Verified;OK;OK;SpainMadridRamirez Ranch192;OK;Madrid;MATCH;OK;0
Japan, Osaka;25543;-196850321;Japan;Osaka;PROP00182;Active;29.09.2024;SAP;;OK;OK;Osaka;OK;Osaka;MATCH;OK;0
John Lodge 110, Vancouver;64539;-589979799;Canada;Vancouver;PROP00183;Inactive;19.09.2025;ServiceNow;;OK;OK;John Lodge 110;OK;Vancouver;MATCH;OK;0
Hannah Rue110, Birmingham, UK;93803;-365822214;UK;Birmingham;PROP00184;Inactive;17.12.2024;SAP;Needs review;OK;OK;Hannah Rue110;OK;Birmingham;MATCH;OK;0
SpainBarcelona, Spain;12697;-430667435;Spain;Barcelona;PROP00185;Inactive;17.08.2025;Planon;;OK;OK;Spain;OK;Barcelona;MATCH;OK;0
Canada, Montreal, Walker Square 151;32391;-343085753;Canada;Montreal;PROP00186;Active;19.06.2025;MDG;;OK;OK;Walker Square 151;OK;Montreal;MATCH;OK;0
USA, Phoenix;62532;-831664945;USA;Phoenix;PROP00187;Active;20.08.2024;SAP;;OK;OK;Phoenix;OK;Phoenix;MATCH;OK;0
CanadaMontrealColeman Summit191;72641;-952931279;Canada;Montreal;PROP00188;Inactive;12.07.2024;SAP;Verified;OK;OK;CanadaMontrealColeman Summit191;OK;Montreal;MATCH;OK;0
Bell Motorway300, Fortaleza, Brazil;36010;-768033554;Brazil;Fortaleza;PROP00189;Inactive;25.09.2023;MDG;Needs review;OK;OK;Bell Motorway300;OK;Fortaleza;MATCH;OK;0
SpainMadrid;95041;-983917711;Spain;Madrid;PROP00190;Inactive;19.09.2025;Planon;;OK;OK;;MISSING;Madrid;MATCH;ERROR;1
Leslie Summit 92, Germany, Frankfurt;70737;-307546739;Germany;Frankfurt;PROP00191;Inactive;11.09.2025;Planon;Verified;OK;OK;Leslie Summit 92;OK;Frankfurt;MATCH;OK;0
James Streets 111, USA, Chicago;63965;-333534493;USA;Chicago;PROP00192;Active;04.05.2025;Planon;;OK;OK;James Streets 111;OK;Chicago;MATCH;OK;0
Liverpool, Hardy Trace 182, UK;69266;-508590987;UK;Liverpool;PROP00193;Inactive;13.11.2024;Planon;Verified;OK;OK;Hardy Trace 182;OK;Liverpool;MATCH;OK;0
USAChicago;25944;-315980488;USA;Chicago;PROP00194;Inactive;29.04.2024;MDG;Pending validation;OK;OK;;MISSING;Chicago;MATCH;ERROR;1
Perez Fall 169, Sapporo;40119;-402449734;Japan;Sapporo;PROP00195;Inactive;12.04.2023;MDG;;OK;OK;Perez Fall 169;OK;Sapporo;MATCH;OK;0
GermanyHamburg, Germany;36455;-770111107;Germany;Hamburg;PROP00196;Active;29.06.2024;MDG;;OK;OK;Germany;OK;Hamburg;MATCH;OK;0
MadridTerri Plaza90, Spain;38791;-742367068;Spain;Madrid;PROP00197;Inactive;04.03.2025;SAP;Check postal code;OK;OK;MadridTerri Plaza90;OK;Madrid;MATCH;OK;0
Dana Terrace 273, Brazil, São Paulo;64841;-155696429;Brazil;São Paulo;PROP00198;Active;24.03.2023;ServiceNow;Imported from legacy system;OK;OK;Dana Terrace 273;OK;São Paulo;MATCH;OK;0
Germany, Frankfurt, Monique Ports 111;37769;-923090992;Germany;Frankfurt;PROP00199;Inactive;29.11.2023;MDG;Check postal code;OK;OK;Monique Ports 111;OK;Frankfurt;MATCH;OK;0
Mendoza Junctions 69, Brazil, Brasília;24665;-194222246;Brazil;Brasília;PROP00200;Inactive;12.09.2025;MDG;;OK;OK;Mendoza Junctions 69;OK;Brasília;MATCH;OK;0
Johnny Wall 185, Bilbao;63117;-951657615;Spain;Bilbao;PROP00201;Active;22.10.2023;Planon;;OK;OK;Johnny Wall 185;OK;Bilbao;MATCH;OK;0
Fortaleza, Lynn Locks 218, Brazil;64955;-684573617;Brazil;Fortaleza;PROP00202;Active;04.05.2024;SAP;;OK;OK;Lynn Locks 218;OK;Fortaleza;MATCH;OK;0
Brazil, Salvador;7527;-956453444;Brazil;Salvador;PROP00203;Inactive;27.07.2024;SAP;;OK;OK;Salvador;OK;Salvador;MATCH;OK;0
Edward Port216, Tokyo, Japan;40325;-521067920;Japan;Tokyo;PROP00204;Active;03.11.2023;SAP;Imported from legacy system;OK;OK;Edward Port216;OK;Tokyo;MATCH;OK;0
AustraliaSydney;73648;-951009962;Australia;Sydney;PROP00205;Inactive;29.11.2022;MDG;Pending validation;OK;OK;;MISSING;Sydney;MATCH;ERROR;1
Obrien Turnpike 263, Fortaleza;81558;-859357207;Brazil;Fortaleza;PROP00206;Active;19.03.2025;SAP;;OK;OK;Obrien Turnpike 263;OK;Fortaleza;MATCH;OK;0
FlorenceKimberly Light13, Italy;59550;-477559018;Italy;Florence;PROP00207;Active;17.06.2023;ServiceNow;;OK;OK;FlorenceKimberly Light13;OK;Florence;MATCH;OK;0
Evans Radial 7, USA, Phoenix;56708;-200467345;USA;Phoenix;PROP00208;Active;04.05.2023;Planon;;OK;OK;Evans Radial 7;OK;Phoenix;MATCH;OK;0
Germany, Frankfurt;80406;-912953758;Germany;Frankfurt;PROP00209;Active;19.07.2025;Planon;Pending validation;OK;OK;Frankfurt;OK;Frankfurt;MATCH;OK;0
SpainValencia, Spain;82488;-108268166;Spain;Valencia;PROP00210;Inactive;08.01.2025;SAP;;OK;OK;Spain;OK;Valencia;MATCH;OK;0
Joseph Common 145, Canada, Vancouver;21086;-510863737;Canada;Vancouver;PROP00211;Inactive;02.11.2023;SAP;Pending validation;OK;OK;Joseph Common 145;OK;Vancouver;MATCH;OK;0
MontrealGlenn Club126, Canada;21018;-561507520;Canada;Montreal;PROP00212;Active;04.04.2025;SAP;Imported from legacy system;OK;OK;MontrealGlenn Club126;OK;Montreal;MATCH;OK;0
JapanTokyo;78333;-527996548;Japan;Tokyo;PROP00213;Inactive;06.06.2023;Planon;;OK;OK;;MISSING;Tokyo;MATCH;ERROR;1
Australia, Perth, Carter Fort 199;38263;-505094476;Australia;Perth;PROP00214;Inactive;03.03.2025;Salesforce;Imported from legacy system;OK;OK;Carter Fort 199;OK;Perth;MATCH;OK;0
Brisbane, Warner Motorway 276, Australia;9830;-264927968;Australia;Brisbane;PROP00215;Active;14.06.2023;MDG;Check postal code;OK;OK;Warner Motorway 276;OK;Brisbane;MATCH;OK;0
ParisSandra Turnpike160, France;82428;-620930150;France;Paris;PROP00216;Inactive;27.05.2024;Salesforce;Verified;OK;OK;ParisSandra Turnpike160;OK;Paris;MATCH;OK;0
Ronald Plains220, Paris, France;29967;-939490100;France;Paris;PROP00217;Inactive;16.12.2023;MDG;Check postal code;OK;OK;Ronald Plains220;OK;Paris;MATCH;OK;0
GermanyHamburg;19144;-344009465;Germany;Hamburg;PROP00218;Inactive;04.10.2023;MDG;;OK;OK;;MISSING;Hamburg;MATCH;ERROR;1
Brian Turnpike 92, Madrid;40820;-583535689;Spain;Madrid;PROP00219;Inactive;16.03.2023;SAP;Check postal code;OK;OK;Brian Turnpike 92;OK;Madrid;MATCH;OK;0
PhoenixGonzales Mountain163, USA;90767;-683819189;USA;Phoenix;PROP00220;Active;21.09.2025;ServiceNow;Verified;OK;OK;PhoenixGonzales Mountain163;OK;Phoenix;MATCH;OK;0
BirminghamLyons Groves42, UK;66098;-219269980;UK;Birmingham;PROP00221;Inactive;29.06.2025;ServiceNow;Verified;OK;OK;BirminghamLyons Groves42;OK;Birmingham;MATCH;OK;0
FranceParis, France;5725;-164777004;France;Paris;PROP00222;Inactive;21.08.2025;Salesforce;;OK;OK;France;OK;Paris;MATCH;OK;0
ItalyTurin;33317;-302878364;Italy;Turin;PROP00223;Active;29.12.2023;Salesforce;Verified;OK;OK;;MISSING;Turin;MATCH;ERROR;1
BrazilSão Paulo;75893;-610414593;Brazil;São Paulo;PROP00224;Inactive;21.06.2025;ServiceNow;;OK;OK;;MISSING;São Paulo;MATCH;ERROR;1
FranceLyon;35826;-961237548;France;Lyon;PROP00225;Active;28.02.2025;Salesforce;Pending validation;OK;OK;;MISSING;Lyon;MATCH;ERROR;1
CanadaMontrealKathryn Extensions12;62170;-839688240;Canada;Montreal;PROP00226;Inactive;12.09.2024;MDG;Pending validation;OK;OK;CanadaMontrealKathryn Extensions12;OK;Montreal;MATCH;OK;0
BrisbaneMoon Falls294, Australia;77221;-787476976;Australia;Brisbane;PROP00227;Inactive;28.11.2022;ServiceNow;Pending validation;OK;OK;BrisbaneMoon Falls294;OK;Brisbane;MATCH;OK;0
UKLondon;12460;-429732679;UK;London;PROP00228;Active;22.01.2025;SAP;Imported from legacy system;OK;OK;;MISSING;London;MATCH;ERROR;1
Bailey Isle 8, Germany, Berlin;42582;-221482458;Germany;Berlin;PROP00229;Active;22.01.2025;MDG;Imported from legacy system;OK;OK;Bailey Isle 8;OK;Berlin;MATCH;OK;0
UKLiverpoolMia Isle235;54456;-246784217;UK;Liverpool;PROP00230;Active;07.08.2024;Planon;;OK;OK;UKLiverpoolMia Isle235;OK;Liverpool;MATCH;OK;0
UKLondon;72603;-912697686;UK;London;PROP00231;Inactive;03.05.2024;Salesforce;;OK;OK;;MISSING;London;MATCH;ERROR;1
AustraliaPerth;33583;-531967181;Australia;Perth;PROP00232;Inactive;04.11.2023;Planon;Imported from legacy system;OK;OK;;MISSING;Perth;MATCH;ERROR;1
UKLeeds;53477;-628777964;UK;Leeds;PROP00233;Inactive;17.11.2023;Salesforce;Pending validation;OK;OK;;MISSING;Leeds;MATCH;ERROR;1
GermanyMunich;61053;-319537480;Germany;Munich;PROP00234;Active;18.03.2025;MDG;Pending validation;OK;OK;;MISSING;Munich;MATCH;ERROR;1
Fortaleza, Brown Path 237, Brazil;47920;-897609020;Brazil;Fortaleza;PROP00235;Inactive;11.09.2025;Planon;;OK;OK;Brown Path 237;OK;Fortaleza;MATCH;OK;0
AustraliaPerth, Australia;7265;-999684964;Australia;Perth;PROP00236;Inactive;24.11.2023;Planon;Check postal code;OK;OK;Australia;OK;Perth;MATCH;OK;0
Joseph Curve 49, Hamburg;38253;-293593323;Germany;Hamburg;PROP00237;Active;15.11.2025;SAP;Needs review;OK;OK;Joseph Curve 49;OK;Hamburg;MATCH;OK;0
Gilmore Oval 266, Paris;16416;-120684505;France;Paris;PROP00238;Inactive;05.09.2025;SAP;;OK;OK;Gilmore Oval 266;OK;Paris;MATCH;OK;0
NaplesTeresa Rest232, Italy;31866;-365965075;Italy;Naples;PROP00239;Inactive;18.04.2025;Planon;Imported from legacy system;OK;OK;NaplesTeresa Rest232;OK;Naples;MATCH;OK;0
JapanTokyoLance Bridge101;72885;-772050521;Japan;Tokyo;PROP00240;Inactive;27.08.2025;SAP;Pending validation;OK;OK;JapanTokyoLance Bridge101;OK;Tokyo;MATCH;OK;0
Canada, Vancouver, Davis Ville 185;15372;-578503726;Canada;Vancouver;PROP00241;Active;17.09.2025;ServiceNow;Imported from legacy system;OK;OK;Davis Ville 185;OK;Vancouver;MATCH;OK;0
Valentine Rue159, Melbourne, Australia;20682;-879423297;Australia;Melbourne;PROP00242;Inactive;23.01.2023;Planon;;OK;OK;Valentine Rue159;OK;Melbourne;MATCH;OK;0
France, Paris;67199;-624114944;France;Paris;PROP00243;Inactive;24.04.2025;MDG;Check postal code;OK;OK;Paris;OK;Paris;MATCH;OK;0
ParisPerry Orchard298, France;62395;-590697212;France;Paris;PROP00244;Inactive;25.01.2025;Salesforce;Verified;OK;OK;ParisPerry Orchard298;OK;Paris;MATCH;OK;0
Stephen Drive 57, France, Marseille;50778;-478015303;France;Marseille;PROP00245;Active;07.07.2023;MDG;;OK;OK;Stephen Drive 57;OK;Marseille;MATCH;OK;0
AustraliaBrisbane;98319;-876834636;Australia;Brisbane;PROP00246;Inactive;23.11.2025;SAP;;OK;OK;;MISSING;Brisbane;MATCH;ERROR;1
UK, Manchester;54888;-958092378;UK;Manchester;PROP00247;Active;03.07.2025;Salesforce;Check postal code;OK;OK;Manchester;OK;Manchester;MATCH;OK;0
Villa Parkways110, Bordeaux, France;35519;-238442063;France;Bordeaux;PROP00248;Inactive;20.05.2023;Salesforce;;OK;OK;Villa Parkways110;OK;Bordeaux;MATCH;OK;0
AustraliaBrisbane;77432;-367900918;Australia;Brisbane;PROP00249;Inactive;19.10.2023;MDG;;OK;OK;;MISSING;Brisbane;MATCH;ERROR;1
Grimes Mission 228, Japan, Osaka;71093;-180441778;Japan;Osaka;PROP00250;Inactive;12.08.2023;ServiceNow;Imported from legacy system;OK;OK;Grimes Mission 228;OK;Osaka;MATCH;OK;0
Reed Plaza 157, USA, Houston;71729;-299578453;USA;Houston;PROP00251;Active;26.01.2023;ServiceNow;;OK;OK;Reed Plaza 157;OK;Houston;MATCH;OK;0
Italy, Naples, Gibson Islands 48;25228;-524433551;Italy;Naples;PROP00252;Active;11.12.2022;Planon;;OK;OK;Gibson Islands 48;OK;Naples;MATCH;OK;0
AustraliaAdelaide;54342;-762275981;Australia;Adelaide;PROP00253;Active;01.11.2024;Salesforce;;OK;OK;;MISSING;Adelaide;MATCH;ERROR;1
Louis Mountains 287, Bilbao;92936;-859746655;Spain;Bilbao;PROP00254;Active;18.09.2025;SAP;;OK;OK;Louis Mountains 287;OK;Bilbao;MATCH;OK;0
Hughes Shore 118, Japan, Nagoya;85962;-721726272;Japan;Nagoya;PROP00255;Active;25.03.2024;MDG;;OK;OK;Hughes Shore 118;OK;Nagoya;MATCH;OK;0
Tyler Camp 66, Japan, Kyoto;17048;-303625438;Japan;Kyoto;PROP00256;Active;17.05.2024;ServiceNow;Verified;OK;OK;Tyler Camp 66;OK;Kyoto;MATCH;OK;0
Kane Well294, Seville, Spain;58212;-768866464;Spain;Seville;PROP00257;Active;13.12.2023;Planon;Needs review;OK;OK;Kane Well294;OK;Seville;MATCH;OK;0
Canada, Montreal;2512;-896798042;Canada;Montreal;PROP00258;Inactive;17.08.2025;MDG;;OK;OK;Montreal;OK;Montreal;MATCH;OK;0
Hamburg, Robert Shoal 173, Germany;20733;-926118252;Germany;Hamburg;PROP00259;Inactive;11.05.2023;MDG;Pending validation;OK;OK;Robert Shoal 173;OK;Hamburg;MATCH;OK;0
LyonTerrance Greens77, France;44876;-674319624;France;Lyon;PROP00260;Inactive;24.07.2024;SAP;Check postal code;OK;OK;LyonTerrance Greens77;OK;Lyon;MATCH;OK;0
ItalyMilan;43566;-424131575;Italy;Milan;PROP00261;Inactive;22.05.2023;MDG;Imported from legacy system;OK;OK;;MISSING;Milan;MATCH;ERROR;1
Finley Road136, Salvador, Brazil;94704;-553723837;Brazil;Salvador;PROP00262;Active;13.07.2024;Planon;Imported from legacy system;OK;OK;Finley Road136;OK;Salvador;MATCH;OK;0
BrasíliaBrennan Camp37, Brazil;81432;-246932733;Brazil;Brasília;PROP00263;Inactive;26.06.2023;ServiceNow;;OK;OK;BrasíliaBrennan Camp37;OK;Brasília;MATCH;OK;0
Frankfurt, Jimmy Spur 173, Germany;38168;-535199116;Germany;Frankfurt;PROP00264;Inactive;29.03.2025;ServiceNow;Check postal code;OK;OK;Jimmy Spur 173;OK;Frankfurt;MATCH;OK;0
CanadaMontreal;13404;-374893114;Canada;Montreal;PROP00265;Inactive;09.01.2024;MDG;Verified;OK;OK;;MISSING;Montreal;MATCH;ERROR;1
UKManchester;39752;-374505635;UK;Manchester;PROP00266;Active;19.06.2023;SAP;Verified;OK;OK;;MISSING;Manchester;MATCH;ERROR;1
UKLeedsBrandon Underpass29;7856;-116541454;UK;Leeds;PROP00267;Active;23.12.2022;Salesforce;Pending validation;OK;OK;UKLeedsBrandon Underpass29;OK;Leeds;MATCH;OK;0
SapporoHoward Meadows30, Japan;19581;-157477480;Japan;Sapporo;PROP00268;Inactive;17.09.2025;SAP;;OK;OK;SapporoHoward Meadows30;OK;Sapporo;MATCH;OK;0
Amanda Port 2, Calgary;89865;-274569549;Canada;Calgary;PROP00269;Inactive;08.11.2024;Planon;;OK;OK;Amanda Port 2;OK;Calgary;MATCH;OK;0
George Common 184, Naples;80388;-187421817;Italy;Naples;PROP00270;Inactive;15.09.2024;MDG;;OK;OK;George Common 184;OK;Naples;MATCH;OK;0
JapanNagoya;65731;-885959971;Japan;Nagoya;PROP00271;Inactive;22.02.2023;SAP;;OK;OK;;MISSING;Nagoya;MATCH;ERROR;1
Jesse Route 278, USA, Phoenix;33790;-457366444;USA;Phoenix;PROP00272;Active;24.02.2024;MDG;;OK;OK;Jesse Route 278;OK;Phoenix;MATCH;OK;0
CanadaVancouver;61482;-904892487;Canada;Vancouver;PROP00273;Inactive;12.06.2023;MDG;;OK;OK;;MISSING;Vancouver;MATCH;ERROR;1
USAHouston;10182;-232848442;USA;Houston;PROP00274;Active;19.04.2025;Salesforce;Pending validation;OK;OK;;MISSING;Houston;MATCH;ERROR;1
Germany, Cologne;39711;-993398065;Germany;Cologne;PROP00275;Inactive;13.12.2022;Planon;Pending validation;OK;OK;Cologne;OK;Cologne;MATCH;OK;0
GermanyFrankfurt, Germany;40100;-720786269;Germany;Frankfurt;PROP00276;Inactive;15.01.2024;Salesforce;Verified;OK;OK;Germany;OK;Frankfurt;MATCH;OK;0
Calgary, Yvonne Walk 269, Canada;63836;-172788447;Canada;Calgary;PROP00277;Active;10.11.2024;MDG;Needs review;OK;OK;Yvonne Walk 269;OK;Calgary;MATCH;OK;0
AustraliaAdelaide, Australia;47550;-569562481;Australia;Adelaide;PROP00278;Active;09.05.2023;SAP;Pending validation;OK;OK;Australia;OK;Adelaide;MATCH;OK;0
Brazil, Rio de Janeiro;3376;-736920327;Brazil;Rio de Janeiro;PROP00279;Inactive;30.04.2024;ServiceNow;;OK;OK;Rio de Janeiro;OK;Rio de Janeiro;MATCH;OK;0
JapanNagoyaHill Port8;90390;-401230897;Japan;Nagoya;PROP00280;Active;09.08.2024;Planon;;OK;OK;JapanNagoyaHill Port8;OK;Nagoya;MATCH;OK;0
Japan, Tokyo, Renee Summit 183;65608;-737055372;Japan;Tokyo;PROP00281;Inactive;12.01.2024;ServiceNow;;OK;OK;Renee Summit 183;OK;Tokyo;MATCH;OK;0
BrisbaneParsons Forks64, Australia;80070;-678085396;Australia;Brisbane;PROP00282;Inactive;22.02.2023;Planon;;OK;OK;BrisbaneParsons Forks64;OK;Brisbane;MATCH;OK;0
MadridRobinson Field59, Spain;81882;-854940619;Spain;Madrid;PROP00283;Active;02.11.2023;MDG;Verified;OK;OK;MadridRobinson Field59;OK;Madrid;MATCH;OK;0
UKBirmingham, UK;86901;-501717164;UK;Birmingham;PROP00284;Active;13.10.2023;ServiceNow;Imported from legacy system;OK;OK;UK;OK;Birmingham;MATCH;OK;0
AustraliaAdelaide;85218;-253344592;Australia;Adelaide;PROP00285;Inactive;13.12.2023;Planon;;OK;OK;;MISSING;Adelaide;MATCH;ERROR;1
Kyle Mill181, Montreal, Canada;4874;-169655354;Canada;Montreal;PROP00286;Active;11.08.2025;Salesforce;Imported from legacy system;OK;OK;Kyle Mill181;OK;Montreal;MATCH;OK;0
Rio de Janeiro, Oconnor Course 202, Brazil;39181;-154796497;Brazil;Rio de Janeiro;PROP00287;Active;27.06.2023;SAP;;OK;OK;Oconnor Course 202;OK;Rio de Janeiro;MATCH;OK;0
São Paulo, Burgess Extensions 183, Brazil;26819;-854885775;Brazil;São Paulo;PROP00288;Inactive;03.03.2025;ServiceNow;Check postal code;OK;OK;Burgess Extensions 183;OK;São Paulo;MATCH;OK;0
Brisbane, Kristin Wells 71, Australia;48454;-204608852;Australia;Brisbane;PROP00289;Inactive;08.02.2025;Planon;Imported from legacy system;OK;OK;Kristin Wells 71;OK;Brisbane;MATCH;OK;0
GermanyHamburg, Germany;63657;-520795712;Germany;Hamburg;PROP00290;Active;16.08.2023;SAP;Pending validation;OK;OK;Germany;OK;Hamburg;MATCH;OK;0
CanadaMontreal;15596;-509285233;Canada;Montreal;PROP00291;Inactive;26.01.2023;Planon;;OK;OK;;MISSING;Montreal;MATCH;ERROR;1
USA, New York, Mccarty Divide 15;99349;-220182776;USA;New York;PROP00292;Active;20.09.2025;Planon;Imported from legacy system;OK;OK;Mccarty Divide 15;OK;New York;MATCH;OK;0
AustraliaMelbourne;88896;-517989883;Australia;Melbourne;PROP00293;Active;26.08.2025;Planon;Verified;OK;OK;;MISSING;Melbourne;MATCH;ERROR;1
Coffey Unions 116, Germany, Cologne;73549;-979950104;Germany;Cologne;PROP00294;Active;02.08.2025;MDG;;OK;OK;Coffey Unions 116;OK;Cologne;MATCH;OK;0
Davis Locks 25, Italy, Naples;2325;-483600681;Italy;Naples;PROP00295;Active;31.05.2024;Salesforce;;OK;OK;Davis Locks 25;OK;Naples;MATCH;OK;0
Italy, Naples, Herrera Motorway 169;48812;-174512116;Italy;Naples;PROP00296;Active;11.10.2025;ServiceNow;;OK;OK;Herrera Motorway 169;OK;Naples;MATCH;OK;0
Leeds, Richards View 78, UK;84196;-863508794;UK;Leeds;PROP00297;Active;23.02.2025;Salesforce;;OK;OK;Richards View 78;OK;Leeds;MATCH;OK;0
GermanyBerlin;62298;-385042257;Germany;Berlin;PROP00298;Inactive;27.07.2023;SAP;;OK;OK;;MISSING;Berlin;MATCH;ERROR;1
Leeds, Christine Points 207, UK;43493;-126384344;UK;Leeds;PROP00299;Inactive;27.12.2023;SAP;Pending validation;OK;OK;Christine Points 207;OK;Leeds;MATCH;OK;0
Deborah Roads 279, Italy, Florence;61353;-751929334;Italy;Florence;PROP00300;Inactive;09.08.2025;SAP;Verified;OK;OK;Deborah Roads 279;OK;Florence;MATCH;OK;0
Banks Crescent 116, France, Paris;18821;-135214000;France;Paris;PROP00301;Active;26.09.2025;SAP;Check postal code;OK;OK;Banks Crescent 116;OK;Paris;MATCH;OK;0
Canada, Montreal, Sophia Hollow 204;65070;-140880331;Canada;Montreal;PROP00302;Active;16.03.2025;Planon;;OK;OK;Sophia Hollow 204;OK;Montreal;MATCH;OK;0
GermanyBerlinColton Plain44;18282;-392879933;Germany;Berlin;PROP00303;Active;15.10.2024;Planon;Verified;OK;OK;GermanyBerlinColton Plain44;OK;Berlin;MATCH;OK;0
Chavez Skyway 138, Brazil, Salvador;97905;-778539717;Brazil;Salvador;PROP00304;Active;16.05.2023;Planon;;OK;OK;Chavez Skyway 138;OK;Salvador;MATCH;OK;0
Brazil, Fortaleza;20754;-285554369;Brazil;Fortaleza;PROP00305;Inactive;15.03.2025;SAP;Needs review;OK;OK;Fortaleza;OK;Fortaleza;MATCH;OK;0
